root_domain	host	target_name	category	source_url	frontendatlas_url	route_type	state	contacted_on	last_checked_on	next_check_on	result_reason	evidence_url
zero-to-mastery.github.io	zero-to-mastery.github.io	Zero to Mastery Interviewing Tools	open_source_resource	https://github.com/zero-to-mastery/resources/blob/master/CONTRIBUTING.md	https://frontendatlas.com/coding	pull_request	submitted	2026-08-15	2026-08-31	2026-09-07	Public PR 1028 is open and mergeable; it discloses affiliation and freemium access and adds FrontendAtlas under Interviewing Tools; duplicate outreach is suppressed while acceptance and live placement remain unverified Review 2026-09-19: PR 1028 merged on 2026-09-17 and the intended link was observed live at https://zero-to-mastery.github.io/resources/HowtoInterviewforCodeJobs. Historical observation; not rechecked during registry consolidation.	https://github.com/zero-to-mastery/resources/pull/1028
it-journey.dev	it-journey.dev	IT-Journey System Design Interviews	open_source_resource	https://it-journey.dev/CONTRIBUTING/	https://frontendatlas.com/system-design	pull_request	submitted	2026-08-31	2026-08-31	2026-09-14	Public PR 674 is open and mergeable; the one-file diff adds one contextual Community Resources link plus the required lastmod update, and the PR discloses affiliation and the free/premium split; nine workflows are action_required with zero jobs pending maintainer approval, not verified test passes; acceptance and live placement remain unverified Review 2026-09-19: PR 674 merged on 2026-09-03 and the intended link was observed live at https://it-journey.dev/quests/1110/system-design-interviews/. This supersedes the older pending observation; not rechecked during registry consolidation.	https://github.com/bamr87/it-journey/pull/674
handbook.academy	handbook.academy	Handbook Academy JavaScript Practice Path	open_source_resource	https://github.com/handbook-academy/engineering-handbook/blob/main/CONTRIBUTING.md	https://frontendatlas.com/guides/framework-prep/javascript-prep-path	pull_request	submitted	2026-08-29	2026-08-31	2026-09-12	Public PR 25 is open and mergeable; it adds an optional JavaScript-specific practice path with affiliation disclosure while preserving the chapter's core guidance; acceptance and live placement remain unverified	https://github.com/handbook-academy/engineering-handbook/pull/25
civicactions.com	guidebook.civicactions.com	CivicActions Accessibility Defect Priority	open_source_resource	https://github.com/CivicActions/accessibility/blob/main/CONTRIBUTING.md	https://frontendatlas.com/incidents/modal-screen-reader-failure	pull_request	submitted	2026-08-29	2026-08-31	2026-09-12	Public PR 910 is open and mergeable; it adds one contextual worked modal incident with affiliation disclosure; acceptance and live placement remain unverified	https://github.com/CivicActions/accessibility/pull/910
csdiy.wiki	csdiy.wiki	CS DIY CS571 supplemental machine-coding practice	open_source_resource	https://github.com/PKUFlyingPig/cs-self-learning#%E5%A6%82%E4%BD%95%E6%88%90%E4%B8%BA%E8%B4%A1%E7%8C%AE%E8%80%85	https://frontendatlas.com/machine-coding	pull_request	submitted	2026-08-31	2026-08-31	2026-09-14	Public PR 903 is open and mergeable; its two-file bilingual diff adds eight lines with no deletions, and the PR discloses affiliation, freemium access, and that mkdocs build --strict was not run locally; the repository exposes no PR checks for this change; acceptance and live placement remain unverified	https://github.com/PKUFlyingPig/cs-self-learning/pull/903
sumitsingh4411.github.io	sumitsingh4411.github.io	Frontend Interview Prep system design practice	open_source_resource	https://github.com/sumitsingh4411/frontend-interview-questions/blob/main/CONTRIBUTING.md	https://frontendatlas.com/system-design	pull_request	submitted	2026-08-31	2026-08-31	2026-09-14	Public PR 3 is open and mergeable; its one-line replacement keeps the resource list at three links and states the 7-free and 16-premium split inline, while the PR discloses affiliation and freemium access; repository duplicate checks and Semrush were clear, but local site tests were not run and the repository exposes no PR checks; acceptance and live placement remain unverified	https://github.com/sumitsingh4411/frontend-interview-questions/pull/3
education.gov.uk	accessibility.education.gov.uk	DfE accessible modal debugging training resource	open_source_resource	https://github.com/DFE-Digital/accessibility-manual#contributing	https://frontendatlas.com/incidents/modal-screen-reader-failure	pull_request	submitted	2026-08-31	2026-08-31	2026-09-14	Public PR 144 is open and mergeable; its one-file diff adds the free incident to the existing external training table with the required GOV.UK link classes and transparent affiliation and freemium disclosure; Code Quality Checks are action_required pending maintainer approval, not verified passes; acceptance and live placement remain unverified	https://github.com/DFE-Digital/accessibility-manual/pull/144
in-tech-gration.github.io	in-tech-gration.github.io	WDX 180 Week 36 post-course interview practice	open_source_resource	https://github.com/in-tech-gration/WDX-180/blob/main/CONTRIBUTING.md	https://frontendatlas.com/interview-questions/essential	pull_request	planned_not_sent		2026-08-31	2026-09-14	Official workflow requires a copied Google resource-review document shared as Anyone with the link Commenter before the issue and PR; browser security policy blocked access to the required docs.google.com copy page, so no document, issue, fork, or PR was created; Pages is also behind main, so do not submit until the review document can be completed and deployment health is rechecked	https://github.com/in-tech-gration/WDX-180/blob/main/CONTRIBUTING.md
iamsharduld.github.io	iamsharduld.github.io	Systems At Scale Further Reading	open_source_resource	https://github.com/iamsharduld/Systems-At-Scale/blob/main/CONTRIBUTING.md	https://frontendatlas.com/guides/system-design-blueprint	pull_request	submitted	2026-08-31	2026-08-31	2026-09-14	Public PR 3 is open and mergeable; its one-line README-only diff adds the free frontend system-design blueprint under Further Reading and discloses affiliation and the platform's freemium model; no project test or workflow is defined, and the upstream repository has been inactive since August 2023, so acceptance, response time, and live placement remain unverified	https://github.com/iamsharduld/Systems-At-Scale/pull/3
thedaviddias.github.io	thedaviddias.github.io	Front-End Beginner interview preparation journey	open_source_resource	https://github.com/thedaviddias/Resources-Front-End-Beginner/blob/main/CONTRIBUTING.md	https://frontendatlas.com/	pull_request	submitted	2026-08-31	2026-08-31	2026-09-14	Public PR 71 is open and mergeable; its one-line README-only diff adds FrontendAtlas under Start here and marks the mixed access model with the existing money and free symbols, while the PR discloses affiliation and freemium access; Check Markdown links is action_required pending maintainer approval, the upstream has a stale nine-PR backlog, and the same maintainer received a separate Front-End-Checklist issue seven days earlier, so acceptance, response time, and live placement remain unverified	https://github.com/thedaviddias/Resources-Front-End-Beginner/pull/71
